title,link,cited_number,cited_papers_link,related_papers_link,snippet,versions_number,all_versions_link,paper_id
"GPT understands, too",https://www.sciencedirect.com/science/article/pii/S2666651023000141,305,"https://scholar.google.com/scholar?cites=11911625687381042347&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:q-TDwXOYTqUJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","Prompting a pretrained language model with natural language patterns has been proved effective for natural language understanding (NLU). However, our preliminary study reveals …",4,"https://scholar.google.com/scholar?cluster=11911625687381042347&hl=en&as_sdt=0,5",7B6NfxTP
"GPT-3: Its nature, scope, limits, and consequences",https://link.springer.com/article/10.1007/s11023-020-09548-1,1135,"https://scholar.google.com/scholar?cites=3059178102799557903&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:D2UFukZidCoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","In this commentary, we discuss the nature of reversible and irreversible questions, that is, questions that may enable one to identify the nature of the source of their answers. We then …",9,"https://scholar.google.com/scholar?cluster=3059178102799557903&hl=en&as_sdt=0,5",uONXR8ng
Gpt-gnn: Generative pre-training of graph neural networks,https://dl.acm.org/doi/abs/10.1145/3394486.3403237,370,"https://scholar.google.com/scholar?cites=5382336022375564679&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:hwV8cxjmsUoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Based on this task, we present the GPT-GNN framework for generative pretraining of graph … framework GPT-GNN to conduct generative pre-training with the aforementioned task. GPT-…",11,"https://scholar.google.com/scholar?cluster=5382336022375564679&hl=en&as_sdt=0,5",nVfEXQ7d
Generalized perturbation theory (GPT) methods. A heuristic approach,https://link.springer.com/chapter/10.1007/978-1-4684-5299-0_4,120,"https://scholar.google.com/scholar?cites=6274845626434391033&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:-QsJCNq6FFcJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Basing on a long experience on GPT methods, it is the purpose of this work to illustrate the GPT methodology in a self-consistent way and extensively, in order to cover a variety of …",2,"https://scholar.google.com/scholar?cluster=6274845626434391033&hl=en&as_sdt=0,5",pvcseJG9
What Makes Good In-Context Examples for GPT-?,https://arxiv.org/abs/2101.06804,524,"https://scholar.google.com/scholar?cites=15504143000725729104&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:UK8dKerHKdcJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… found that the empirical results of GPT-3 depend heavily on … (relative to random sampling) that better leverage GPT3’s few-shot … as more informative inputs to unleash GPT-3’s extensive …,9,"https://scholar.google.com/scholar?cluster=15504143000725729104&hl=en&as_sdt=0,5",25qO4x3m
GPT: a tool for planning with uncertainty and partial information,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b0fe9cf6f8a8926e8a723942b0e41aacab479a66,100,"https://scholar.google.com/scholar?cites=18004996633820737984&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:wDH9PAuZ3vkJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… We describe the GPT system and its utilization over a number of examples. GPT (General … 4, we show GPT’s language with an example and give an overview of its syntax. At the end, …",2,"https://scholar.google.com/scholar?cluster=18004996633820737984&hl=en&as_sdt=0,5",2dTXnOmC
"How contextual are contextualized word representations? Comparing the geometry of BERT, ELMo, and GPT-2 embeddings",https://arxiv.org/abs/1909.00512,709,"https://scholar.google.com/scholar?cites=11495806908561385170&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:0mZI13lPiZ8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… The contextualizing models we study in this paper are ELMo, BERT, and GPT-21. We choose the base cased version of BERT because it is most comparable to GPT-2 with respect to …",6,"https://scholar.google.com/scholar?cluster=11495806908561385170&hl=en&as_sdt=0,5",vVJWhmzX
Aspartate aminotransferase (AST/GOT) and alanine aminotransferase (ALT/GPT) detection techniques,https://www.mdpi.com/1424-8220/6/7/756,537,"https://scholar.google.com/scholar?cites=16107779757505706990&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:7vtaxlhUit8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… ALT/GPT in monitoring patients with liver diseases, AST/GOT and ALT/GPT detection have … AST/GOT and ALT/GPT detection technologies (we call them GOT and GPT in the following …",21,"https://scholar.google.com/scholar?cluster=16107779757505706990&hl=en&as_sdt=0,5",Ere6zYk3
"Hello, it's GPT-2--how can I help you? towards the use of pretrained language models for task-oriented dialogue systems",https://arxiv.org/abs/1907.05774,310,"https://scholar.google.com/scholar?cites=3368206062112279585&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:IQyFZpFFvi4J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… We use the open-source implementation of the GPT architecture that provides both GPT and GPT-2 fine-tunable checkpoints.Following previous work (Radford et al., 2018; Wolf et al.…",8,"https://scholar.google.com/scholar?cluster=3368206062112279585&hl=en&as_sdt=0,5",PObygtBN
"Attention mechanism, transformers, BERT, and GPT: tutorial and survey",https://osf.io/m6gcn/download,33,"https://scholar.google.com/scholar?cites=10699343491742452940&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:zEwy2ze0e5QJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","This is a tutorial and survey paper on the attention mechanism, transformers, BERT, and GPT. We first explain attention mechanism, sequence-to-sequence model without and with …",4,"https://scholar.google.com/scholar?cluster=10699343491742452940&hl=en&as_sdt=0,5",ZN1OMSPX
